gene_i	gene_j	ERP117672	GSE302495
LAT	IRF1	0.5198879551820729	0.4513687239173993
LAT	IFIT1	0.048179271708683476	-0.1110633879786901
LAT	IFIT2	0.17871148459383757	0.08571558771928937
LAT	IFIT3	0.22829131652661064	0.09160783953397461
LAT	ISG15	0.1285714285714286	0.0688170542130222
LAT	MX1	0.27254901960784317	0.36454139057269763
LAT	OAS1	0.20952380952380953	0.22724080583427686
LAT	CXCL9	0.46974789915966386	0.14230344005277612
LAT	CXCL10	0.4383753501400561	-0.012118027316994216
LAT	IFNG	0.47968620543619145	-0.02136891092507411
LAT	TNF	0.5941136707559889	0.2781587554781608
LAT	CCL5	0.5708683473389355	0.1018358992877679
LAT	NKG7	0.4879551820728292	0.010116885191252051
LAT	PRF1	0.5596638655462186	0.10205824841285037
LAT	GZMB	0.4753501400560225	0.32318445330735945
LAT	PDCD1	0.6907563025210084	0.16754006574963565
LAT	LAG3	0.5857142857142857	0.08882847547044385
LAT	TIGIT	0.6498599439775911	0.1230702407331431
LAT	TOX	0.5187675070028012	0.13218655486152409
LCP2	TRAT1	0.6577491437097868	0.43166648429806326
LCP2	NFKB1	0.37310924369747905	0.5599080862238756
LCP2	REL	0.31288515406162465	0.683991683991684
LCP2	RELA	-0.012605042016806725	-0.06554327606959186
LCP2	NFKBIA	0.4288515406162466	0.2500273552905132
LCP2	TNFAIP3	0.6658263305322129	0.3835211729948572
LCP2	STAT1	0.7663865546218488	0.5421818579713317
LCP2	IRF1	0.700560224089636	0.6743626217310428
LCP2	IFIT1	0.13025210084033612	-0.15483094430462851
LCP2	IFIT2	0.31484593837535013	0.24455629718787614
LCP2	IFIT3	0.22324929971988797	0.3152423678739468
LCP2	ISG15	0.4722689075630252	0.1644600065652697
LCP2	MX1	0.29299719887955183	0.4686508370718897
LCP2	OAS1	0.17563025210084035	0.40628077470182733
LCP2	CXCL9	0.7795518207282914	0.5973301236459131
LCP2	CXCL10	0.6941176470588235	0.49141043877885987
LCP2	IFNG	0.7282152149116013	0.35655624415350806
LCP2	TNF	0.8497549388519839	0.7995404311193784
LCP2	CCL5	0.8764705882352942	0.665390086442718
LCP2	NKG7	0.7767507002801121	0.5730386256702046
LCP2	PRF1	0.7554621848739497	0.5671298829193566
LCP2	GZMB	0.6711484593837536	0.6758945179997812
LCP2	PDCD1	0.6176470588235295	0.47434073749863226
LCP2	LAG3	0.523249299719888	0.4662435715067294
LCP2	TIGIT	0.8635854341736695	0.5163584637268848
LCP2	TOX	0.7033613445378152	0.42575774154721524
TRAT1	NFKB1	0.18516702895748255	0.319400372031951
TRAT1	REL	0.1987534145920331	0.26118831381989277
TRAT1	RELA	-0.27999159673676827	-0.15789473684210525
TRAT1	NFKBIA	0.07815673385648658	0.3868038078564394
TRAT1	TNFAIP3	0.44695006762732736	0.13601050443155704
TRAT1	STAT1	0.72848238850822	0.22617354196301565
TRAT1	IRF1	0.6986483664447225	0.33165554218185794
TRAT1	IFIT1	0.04720218514271681	0.05875916402232192
TRAT1	IFIT2	0.3099656846315499	-0.05569537148484517
TRAT1	IFIT3	0.2909167315769223	0.26841011051537367
TRAT1	ISG15	0.4651586256942508	0.1622715833242149
TRAT1	MX1	0.2609426436821407	0.11587701061385274
TRAT1	OAS1	0.40002801414717865	0.5478717583980741
TRAT1	CXCL9	0.6777785575834024	0.3765182186234818
TRAT1	CXCL10	0.5816933973225605	0.27388116861801065
TRAT1	IFNG	0.7249036937664486	0.44769443006309906
TRAT1	TNF	0.7191815853436317	0.1985994091257249
TRAT1	CCL5	0.7464108149125752	0.5251121566911041
TRAT1	NKG7	0.5875761622364897	0.3520078783236678
TRAT1	PRF1	0.5758106324086315	0.5227048911259438
TRAT1	GZMB	0.4948525819264643	0.3811139074296969
TRAT1	PDCD1	0.45171230589098427	0.3601050443155706
TRAT1	LAG3	0.40465018657955154	0.40321698216435053
TRAT1	TIGIT	0.7747041128319486	0.5434949119159646
TRAT1	TOX	0.7291827176646402	0.16424116424116425
NFKB1	REL	0.4126050420168067	0.4695262063683116
NFKB1	RELA	0.415686274509804	-0.029653134916292807
NFKB1	NFKBIA	0.5549019607843138	0.17868475763212605
NFKB1	TNFAIP3	0.6092436974789917	0.33843965422912786
NFKB1	STAT1	0.18207282913165268	0.43473027683554
NFKB1	IRF1	0.4011204481792717	0.4968814968814969
NFKB1	IFIT1	0.21568627450980396	-0.3043002516686727
NFKB1	IFIT2	0.05602240896358543	-0.03818798555640661
NFKB1	IFIT3	0.17983193277310924	0.11084363715942663
NFKB1	ISG15	0.2081232492997199	0.04540978225188752
NFKB1	MX1	0.3159663865546219	0.24586935113250902
NFKB1	OAS1	0.2568627450980392	0.4005908742750848
NFKB1	CXCL9	0.29075630252100837	0.4625232519969362
NFKB1	CXCL10	0.411484593837535	0.34916292811029653
NFKB1	IFNG	0.2513309148809952	0.19005378912637064
NFKB1	TNF	0.3906097665479927	0.4653682022103075
NFKB1	CCL5	0.4120448179271709	0.35704125177809387
NFKB1	NKG7	0.31848739495798317	0.20691541744173325
NFKB1	PRF1	0.37647058823529417	0.19050224313382208
NFKB1	GZMB	0.4246498599439776	0.35747893642630485
NFKB1	PDCD1	0.37142857142857144	0.23711565816828972
NFKB1	LAG3	0.17955182072829132	0.2147937411095306
NFKB1	TIGIT	0.30952380952380953	0.26381442170915853
NFKB1	TOX	0.37310924369747905	0.3787066418645366
REL	RELA	0.29971988795518206	-0.0322792428055586
REL	NFKBIA	0.21904761904761905	0.2999234051865631
REL	TNFAIP3	0.3733893557422969	0.4780610570084254
REL	STAT1	0.29691876750700286	0.33318743845059634
REL	IRF1	0.16022408963585436	0.4246635299266878
REL	IFIT1	-0.005602240896358544	-0.07385928438560017
REL	IFIT2	0.014005602240896357	0.2474012474012474
REL	IFIT3	-0.10588235294117648	0.19247182405077143
REL	ISG15	-0.061064425770308135	-0.10646679067731699
REL	MX1	0.2627450980392157	0.38833570412517776
REL	OAS1	0.14817927170868347	0.2697231644600066
REL	CXCL9	0.2420168067226891	0.29051318525002734
REL	CXCL10	0.1568627450980392	0.21041689462742094
REL	IFNG	0.3188568351555992	0.13090160115620342
REL	TNF	0.3847232899799928	0.525987525987526
REL	CCL5	0.23949579831932774	0.3896487580698107
REL	NKG7	0.14537815126050418	0.33362512309880726
