released_t_cell_state	TCR_activation	cytotoxicity	exhaustion
CD4_C03_CD44	-0.0387420215951	-0.647168521725	-0.00065662662999
CD4_C08_FOXP3	-0.287218814908	-0.647168521725	0.129923305183
CD8_C06_IKZF2	0.617782010319	1.1248617151	-0.182556484271
CD4_C01_CCR7	0.483925439895	-0.647168521725	-0.352763613388
CD8_C03_CX3CR1	0.187081637609	0.0435396262955	-0.162079064896
CD4_C01_CCR7	0.250555173145	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.00513641153492	-0.647168521725	-0.352763613388
CD8_C03_CX3CR1	-0.0873303162284	1.24031032255	-0.156553072157
CD4_C03_CD44	-0.0385155597696	-0.647168521725	-0.164276029459
CD4_C04_GZMK	-0.496349548309	-0.505152757503	-0.352763613388
CD8_C03_CX3CR1	0.0426203988638	1.22099751801	0.22016278217
CD8_C08_GZMK	-0.36459301546	-0.19443460265	-0.0922943397312
CD4_C04_GZMK	-0.347992479207	-0.647168521725	-0.352763613388
CD4_C04_GZMK	-0.150062132723	-0.535612264658	-0.203265207249
CD8_C03_CX3CR1	-0.379828305738	1.20248046427	-0.149745232448
CD8_C03_CX3CR1	-0.136665045878	0.977686812491	-0.352763613388
CD4_C08_FOXP3	-0.241455787583	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.25250484534	-0.647168521725	-0.352763613388
CD8_C08_GZMK	-0.517503203482	-0.100900040082	-0.352763613388
CD4_C02_IL7R	0.216477911297	-0.647168521725	-0.0853914982219
CD4_C01_CCR7	0.0439921089662	-0.647168521725	-0.203163949725
CD8_C08_GZMK	-0.227227540024	0.45751841123	-0.352763613388
CD4_C05_GNLY	-0.0176622790302	0.514254868071	-0.352763613388
CD8_C03_CX3CR1	-0.363033107726	0.843208693613	-0.200497339953
CD4_C01_CCR7	0.119523886324	-0.585502111673	-0.191565559946
CD4_C03_CD44	-0.358431710049	-0.647168521725	-0.167235401063
CD8_C08_GZMK	0.0529800225845	-0.190526590625	-0.122607722983
CD8_C08_GZMK	0.00902608822552	-0.27276639904	-0.140573613118
CD8_C01_LEF1	-0.399952939786	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.05667075037	-0.647168521725	-0.352763613388
CD4_C05_GNLY	0.0468821725055	0.583309601734	-0.352763613388
CD4_C01_CCR7	-0.457356418291	-0.647168521725	0.130949532018
CD4_C03_CD44	-0.671660200551	-0.492510390623	-0.127328316831
CD8_C01_LEF1	-0.0132856126193	-0.579226633585	-0.352763613388
CD4_C03_CD44	-0.296797741645	-0.528199860007	-0.352763613388
CD4_C03_CD44	-0.457057969727	-0.484215852407	-0.352763613388
CD4_C01_CCR7	-0.738714893659	-0.451754118845	-0.352763613388
CD8_C01_LEF1	-0.1689103508	-0.647168521725	-0.352763613388
CD4_C04_GZMK	0.318108060445	-0.647168521725	0.0242761200238
CD4_C03_CD44	0.106614504067	-0.647168521725	-0.352763613388
CD8_C02_GPR183	-0.610102793977	-0.647168521725	-0.352763613388
CD4_C03_CD44	0.120348688618	-0.564043868963	-0.352763613388
CD4_C01_CCR7	-0.253391990658	-0.647168521725	-0.352763613388
CD4_C05_GNLY	0.324739141249	0.259611537152	-0.352763613388
CD8_C03_CX3CR1	0.191576964302	1.05682303829	-0.162212860644
CD4_C01_CCR7	-0.179966401602	-0.479194452318	-0.352763613388
CD8_C03_CX3CR1	0.320801945031	0.924300606245	0.0451059981412
CD8_C03_CX3CR1	-0.0427090984216	0.58571248807	-0.352763613388
CD4_C01_CCR7	0.0883243454554	-0.647168521725	-0.158293121213
CD4_C04_GZMK	-0.0490220243497	-0.647168521725	-0.352763613388
CD4_C08_FOXP3	0.136954770841	-0.647168521725	-0.103203095142
CD4_C03_CD44	-0.352614496461	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.424778346017	-0.647168521725	0.200009099775
CD4_C05_GNLY	0.178438746868	0.66859030138	-0.352763613388
CD4_C01_CCR7	-0.222998058688	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.126466561258	-0.647168521725	-0.352763613388
CD4_C03_CD44	0.142915590366	-0.0756328987775	-0.248451681234
CD8_C06_IKZF2	0.110381358036	1.46810637218	-0.149874984382
CD4_C05_GNLY	0.324352082847	0.598741329151	-0.164086513776
CD4_C01_CCR7	0.27343122612	-0.262638514228	-0.352763613388
CD8_C03_CX3CR1	0.362100283564	1.26323840149	-0.144177655342
CD4_C01_CCR7	-0.706692792897	-0.647168521725	-0.352763613388
CD8_C01_LEF1	-0.560305751635	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.431610766914	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.401886904627	-0.647168521725	-0.352763613388
CD4_C02_IL7R	0.369335863638	-0.647168521725	-0.205728372424
CD4_C01_CCR7	-0.338248934691	-0.561838054408	-0.352763613388
CD4_C03_CD44	-0.100890567606	-0.566082039982	-0.136379339926
CD8_C03_CX3CR1	-0.400441406327	1.16859240156	-0.182594472594
CD4_C01_CCR7	0.104319625604	-0.647168521725	-0.141648431768
CD4_C01_CCR7	-0.227225658759	-0.566718565256	-0.352763613388
CD4_C01_CCR7	-0.283226398673	-0.647168521725	-0.352763613388
CD4_C01_CCR7	0.029100648018	-0.647168521725	-0.352763613388
CD8_C03_CX3CR1	0.0488196545707	1.43780172665	-0.182999259162
CD4_C04_GZMK	0.118293943292	-0.455718664058	-0.0103517401659
CD8_C08_GZMK	-0.216650570078	0.549092739236	-0.166494870957
CD8_C01_LEF1	-0.594304887284	-0.647168521725	-0.156457989892
