major_cluster	sub_cluster	state_order	af35_primary	UMAP_1	UMAP_2
CD4	CD4_C07_CTLA4	7	-0.0982267074767447	-3.964159	4.4385724
CD8	CD8_C09_LAYN	18	0.527778134574893	9.843122	7.923107
CD4	CD4_C03_CD44	3	-0.379814506771843	0.29103136	0.8925345
CD4	CD4_C04_GZMK	4	-0.123698961411905	3.1342099	4.0729785
CD4	CD4_C06_CXCL13	6	0.185874138203819	-1.0323131	5.8156495
CD4	CD4_C07_CTLA4	7	0.0506115554765995	-5.320696	5.0956774
CD4	CD4_C09_MKI67	9	0.00506744940584477	-1.1992736	7.9536166
CD4	CD4_C03_CD44	3	-0.230130792684452	2.3202462	2.0430279
CD4	CD4_C02_IL7R	2	-0.297966546268909	2.1276731	0.90565765
CD4	CD4_C07_CTLA4	7	-0.136436845532586	-4.764534	5.6704073
CD4	CD4_C07_CTLA4	7	0.544627277136436	-5.688601	6.1377244
CD4	CD4_C06_CXCL13	6	0.113873815337405	-1.1383518	4.507753
CD8	CD8_C09_LAYN	18	0.0804139759021607	8.354357	6.6132603
CD4	CD4_C04_GZMK	4	0.325240155748125	1.875219	3.6433995
CD4	CD4_C04_GZMK	4	-0.175090529405639	2.9432335	0.21789524
CD8	CD8_C09_LAYN	18	0.456964979904037	10.519367	7.2880616
CD8	CD8_C10_SLC4A10	19	0.0176669687336329	1.7318082	9.164017
CD4	CD4_C07_CTLA4	7	0.0258725767359579	-5.9746504	5.570255
CD4	CD4_C07_CTLA4	7	-0.112178100958969	-5.5266204	5.15145
CD4	CD4_C09_MKI67	9	-0.0707409675940059	-0.9054014	8.22004
CD4	CD4_C07_CTLA4	7	0.136193089399468	-5.896568	6.7620196
CD8	CD8_C10_SLC4A10	19	0.181531752212428	2.7090132	10.134811
CD4	CD4_C07_CTLA4	7	-0.23172497208588	-5.339796	5.0146484
CD4	CD4_C07_CTLA4	7	0.0316899144820339	-5.214273	4.671378
CD4	CD4_C03_CD44	3	-0.2144465511688	2.5438669	2.354592
CD4	CD4_C07_CTLA4	7	-0.0582716816102332	-5.633562	6.723372
CD4	CD4_C08_FOXP3	8	-0.317754638445336	-2.2156706	3.2117321
CD4	CD4_C08_FOXP3	8	-0.0752853638061046	-5.0051117	4.0041313
CD4	CD4_C07_CTLA4	7	0.082147319304104	-5.7037983	6.2912774
CD4	CD4_C05_GNLY	5	-0.15229044938774	4.88805	-0.55068815
CD8	CD8_C10_SLC4A10	19	0.230884833773581	2.4798646	9.549686
CD4	CD4_C04_GZMK	4	-0.0668799881611993	0.5950671	4.5849423
CD8	CD8_C09_LAYN	18	0.29879771709183	8.713601	6.6357203
CD8	CD8_C07_KIR2DL4	16	0.0849367699915691	9.256808	5.280641
CD8	CD8_C10_SLC4A10	19	-0.0420648414448918	2.2091758	10.353366
CD8	CD8_C08_GZMK	17	0.349325468375849	8.274405	7.4271803
CD4	CD4_C06_CXCL13	6	0.272642679405189	-0.76436067	5.2061357
CD8	CD8_C07_KIR2DL4	16	0.178704828698319	9.605657	4.903008
CD8	CD8_C10_SLC4A10	19	0.0729703419534789	2.7074618	10.882217
